Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.45     0.00  2649646     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.45     0.00  2047525     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.45     0.00  2010960     0.00     0.00  std::remove_reference<std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_impl&>::type&& std::move<std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_impl&>(std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_impl&)
  0.00      0.45     0.00  2007028     0.00     0.00  std::vector<Route*, std::allocator<Route*> >&& std::forward<std::vector<Route*, std::allocator<Route*> > >(std::remove_reference<std::vector<Route*, std::allocator<Route*> > >::type&)
  0.00      0.45     0.00  1756876     0.00     0.00  Route** std::__niter_base<Route**>(Route**)
  0.00      0.45     0.00  1743709     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_M_deallocate(Route**, unsigned long)
  0.00      0.45     0.00  1672852     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Route**>(Route**, Route**)
  0.00      0.45     0.00  1672852     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_impl::~_Vector_impl()
  0.00      0.45     0.00  1672852     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::~vector()
  0.00      0.45     0.00  1672852     0.00     0.00  void std::_Destroy<Route**>(Route**, Route**)
  0.00      0.45     0.00  1672852     0.00     0.00  void std::_Destroy<Route**, Route*>(Route**, Route**, std::allocator<Route*>&)
  0.00      0.45     0.00  1549271     0.00     0.00  __gnu_cxx::new_allocator<Route*>::max_size() const
  0.00      0.45     0.00  1518000     0.00     0.00  boost::date_time::int_adapter<long>::int_adapter(long)
  0.00      0.45     0.00  1468482     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_M_get_Tp_allocator() const
  0.00      0.45     0.00  1434950     0.00     0.00  std::_Rb_tree_iterator<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.45     0.00  1402591     0.00     0.00  __gnu_cxx::new_allocator<Route*>::allocate(unsigned long, void const*)
  0.00      0.45     0.00  1402591     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_M_allocate(unsigned long)
  0.00      0.45     0.00  1402591     0.00     0.00  std::allocator_traits<std::allocator<Route*> >::allocate(std::allocator<Route*>&, unsigned long)
  0.00      0.45     0.00  1331734     0.00     0.00  Route** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<Route*>(Route* const*, Route* const*, Route**)
  0.00      0.45     0.00  1331734     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_impl::_Vector_impl(std::allocator<Route*> const&)
  0.00      0.45     0.00  1331734     0.00     0.00  Route** std::__niter_wrap<Route**>(Route** const&, Route**)
  0.00      0.45     0.00  1331734     0.00     0.00  Route** std::__copy_move_a<false, Route* const*, Route**>(Route* const*, Route* const*, Route**)
  0.00      0.45     0.00  1326768     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Route*>, Route*>::_S_select_on_copy(std::allocator<Route*> const&)
  0.00      0.45     0.00  1326768     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_M_create_storage(unsigned long)
  0.00      0.45     0.00  1326768     0.00     0.00  std::allocator_traits<std::allocator<Route*> >::select_on_container_copy_construction(std::allocator<Route*> const&)
  0.00      0.45     0.00  1326768     0.00     0.00  Route** std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, Route**>(__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, __gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, Route**)
  0.00      0.45     0.00  1326768     0.00     0.00  Route** std::uninitialized_copy<__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, Route**>(__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, __gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, Route**)
  0.00      0.45     0.00  1326768     0.00     0.00  Route** std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, Route**, Route*>(__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, __gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, Route**, std::allocator<Route*>&)
  0.00      0.45     0.00  1326768     0.00     0.00  Route** std::copy<__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, Route**>(__gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, __gnu_cxx::__normal_iterator<Route* const*, std::vector<Route*, std::allocator<Route*> > >, Route**)
  0.00      0.45     0.00  1324889     0.00     0.00  std::vector<Route*, std::allocator<Route*> > const& std::forward<std::vector<Route*, std::allocator<Route*> > const&>(std::remove_reference<std::vector<Route*, std::allocator<Route*> > const&>::type&)
  0.00      0.45     0.00  1324802     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >::_M_addr()
  0.00      0.45     0.00  1324802     0.00     0.00  std::_Rb_tree_node<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >::_M_valptr()
  0.00      0.45     0.00  1273876     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > >, std::_Select1st<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.45     0.00  1070905     0.00     0.00  std::_Rb_tree<Route*, std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > >, std::_Select1st<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >, std::less<Route*>, std::allocator<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.45     0.00  1051319     0.00     0.00  std::_Rb_tree<Route*, std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > >, std::_Select1st<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >, std::less<Route*>, std::allocator<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > > >::end()
  0.00      0.45     0.00  1022050     0.00     0.00  __gnu_cxx::__normal_iterator<Route**, std::vector<Route*, std::allocator<Route*> > >::base() const
  0.00      0.45     0.00  1005480     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_impl::_Vector_impl(std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_impl&&)
  0.00      0.45     0.00  1005480     0.00     0.00  std::_Vector_base<Route*, std::allocator<Route*> >::_Vector_base(std::_Vector_base<Route*, std::allocator<Route*> >&&)
  0.00      0.45     0.00  1005480     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::vector(std::vector<Route*, std::allocator<Route*> >&&)
  0.00      0.45     0.00  1003514     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<Route*, std::allocator<Route*> > >::destroy<std::vector<Route*, std::allocator<Route*> > >(std::vector<Route*, std::allocator<Route*> >*)
  0.00      0.45     0.00  1003514     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<Route*, std::allocator<Route*> > >::construct<std::vector<Route*, std::allocator<Route*> >, std::vector<Route*, std::allocator<Route*> > >(std::vector<Route*, std::allocator<Route*> >*, std::vector<Route*, std::allocator<Route*> >&&)
  0.00      0.45     0.00  1003514     0.00     0.00  void std::allocator_traits<std::allocator<std::vector<Route*, std::allocator<Route*> > > >::construct<std::vector<Route*, std::allocator<Route*> >, std::vector<Route*, std::allocator<Route*> > >(std::allocator<std::vector<Route*, std::allocator<Route*> > >&, std::vector<Route*, std::allocator<Route*> >*, std::vector<Route*, std::allocator<Route*> >&&)
  0.00      0.45     0.00  1003514     0.00     0.00  void std::__relocate_object_a<std::vector<Route*, std::allocator<Route*> >, std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > >(std::vector<Route*, std::allocator<Route*> >*, std::vector<Route*, std::allocator<Route*> >*, std::allocator<std::vector<Route*, std::allocator<Route*> > >&)
  0.00      0.45     0.00  1003514     0.00     0.00  std::remove_reference<std::vector<Route*, std::allocator<Route*> >&>::type&& std::move<std::vector<Route*, std::allocator<Route*> >&>(std::vector<Route*, std::allocator<Route*> >&)
  0.00      0.45     0.00   993618     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > >, std::_Select1st<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > >::_M_end()
  0.00      0.45     0.00   993613     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > >, std::_Select1st<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > >::_M_begin()
  0.00      0.45     0.00   993608     0.00     0.00  std::map<int, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > >::end()
  0.00      0.45     0.00   993608     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > >, std::_Select1st<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >*, std::_Rb_tree_node_base*, int const&)
  0.00      0.45     0.00   993599     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > >, std::_Select1st<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.45     0.00   886336     0.00     0.00  __gnu_cxx::__normal_iterator<Route**, std::vector<Route*, std::allocator<Route*> > >::__normal_iterator(Route** const&)
  0.00      0.45     0.00   826193     0.00     0.00  Route* const& std::forward<Route* const&>(std::remove_reference<Route* const&>::type&)
  0.00      0.45     0.00   762000     0.00     0.00  std::numeric_limits<long>::max()
  0.00      0.45     0.00   738228     0.00     0.00  __gnu_cxx::new_allocator<Route*>::deallocate(Route**, unsigned long)
  0.00      0.45     0.00   738228     0.00     0.00  std::allocator_traits<std::allocator<Route*> >::deallocate(std::allocator<Route*>&, Route**, unsigned long)
  0.00      0.45     0.00   726000     0.00     0.00  boost::date_time::time_resolution_traits<boost::date_time::time_resolution_traits_adapted64_impl, (boost::date_time::time_resolutions)5, 1000000l, (unsigned short)6, long>::as_number(boost::date_time::int_adapter<long>)
  0.00      0.45     0.00   726000     0.00     0.00  boost::date_time::time_resolution_traits_adapted64_impl::as_number(boost::date_time::int_adapter<long>)
  0.00      0.45     0.00   720000     0.00     0.00  Route::getBusType[abi:cxx11]()
  0.00      0.45     0.00   662799     0.00     0.00  std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > >::size() const
  0.00      0.45     0.00   662410     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >::_Rb_tree_iterator()
  0.00      0.45     0.00   662410     0.00     0.00  std::map<int, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > >::find(int const&)
  0.00      0.45     0.00   662410     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > >, std::_Select1st<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > >::find(int const&)
  0.00      0.45     0.00   662410     0.00     0.00  std::operator!=(std::_Rb_tree_iterator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > const&, std::_Rb_tree_iterator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > const&)
  0.00      0.45     0.00   662409     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > >, std::_Select1st<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >, std::less<int>, std::allocator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.45     0.00   662401     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, std::vector<std::vector<Route*, std::allocator<Route*> >, std::allocator<std::vector<Route*, std::allocator<Route*> > > > > >::operator->() const
  0.00      0.45     0.00   662391     0.00     0.00  void __gnu_cxx::new_allocator<std::vector<Route*, std::allocator<Route*> > >::construct<std::vector<Route*, std::allocator<Route*> >, std::vector<Route*, std::allocator<Route*> > const&>(std::vector<Route*, std::allocator<Route*> >*, std::vector<Route*, std::allocator<Route*> > const&)
