Origin,Destination,BusType,DepDateTime,ArrDateTime,Profit,SchType
A3,E5,T1,2020-01-01 09:30:00,2020-01-01 12:18:00,281.9367334588218,M
A4,B1,T1,2020-01-01 05:45:00,2020-01-01 07:47:00,204.38822111206423,M
A4,B2,T1,2020-01-01 06:45:00,2020-01-01 08:55:00,208.41035431038688,M
A4,B3,T1,2020-01-01 05:30:00,2020-01-01 07:35:00,204.98582139945572,M
A4,B4,T1,2020-01-01 05:45:00,2020-01-01 07:53:00,201.04243853437995,M
A4,B5,T1,2020-01-01 07:00:00,2020-01-01 09:08:00,205.55841964910894,M
A4,C1,T1,2020-01-01 07:00:00,2020-01-01 09:19:00,226.65591206001827,M
A4,C2,T1,2020-01-01 08:30:00,2020-01-01 10:55:00,229.57169928109028,M
A4,C3,T1,2020-01-01 07:15:00,2020-01-01 09:36:00,230.7474245633813,M
A4,C4,T1,2020-01-01 09:45:00,2020-01-01 12:08:00,233.939476260471,M
A4,C5,T1,2020-01-01 08:30:00,2020-01-01 10:55:00,228.37180549646789,M
A4,D1,T1,2020-01-01 08:15:00,2020-01-01 10:58:00,259.95237349086284,M
A4,D2,T1,2020-01-01 07:00:00,2020-01-01 09:40:00,251.67271597667897,M
A4,D3,T1,2020-01-01 06:00:00,2020-01-01 08:34:00,256.79943746214724,M
A4,D4,T1,2020-01-01 09:00:00,2020-01-01 11:37:00,251.99142866765092,M
A4,D5,T1,2020-01-01 06:15:00,2020-01-01 08:57:00,259.9639552428768,M
A4,E1,T1,2020-01-01 08:15:00,2020-01-01 11:03:00,280.92118392684114,M
A4,E2,T1,2020-01-01 07:30:00,2020-01-01 10:26:00,277.26808738317555,M
A4,E3,T1,2020-01-01 07:45:00,2020-01-01 10:36:00,281.49014106273563,M
A4,E4,T1,2020-01-01 08:00:00,2020-01-01 10:49:00,280.4860701373379,M
A4,E5,T1,2020-01-01 09:15:00,2020-01-01 12:03:00,278.33341761743293,M
A5,B1,T1,2020-01-01 07:00:00,2020-01-01 09:08:00,209.6742736251856,M
A5,B2,T1,2020-01-01 09:00:00,2020-01-01 11:07:00,202.9274426619375,M
A5,B3,T1,2020-01-01 09:15:00,2020-01-01 11:23:00,205.92252808239857,M
A5,B4,T1,2020-01-01 06:15:00,2020-01-01 08:25:00,207.6034575939853,M
A5,B5,T1,2020-01-01 08:00:00,2020-01-01 10:15:00,203.2950774303014,M
A5,C1,T1,2020-01-01 06:00:00,2020-01-01 08:16:00,227.624339723184,M
A5,C2,T1,2020-01-01 07:30:00,2020-01-01 09:49:00,233.90600583588142,M
A5,C3,T1,2020-01-01 08:30:00,2020-01-01 10:54:00,233.0746870637541,M
A5,C4,T1,2020-01-01 06:30:00,2020-01-01 08:57:00,225.54347379996761,M
A5,C5,T1,2020-01-01 09:00:00,2020-01-01 11:23:00,226.98279390328656,M
A5,D1,T1,2020-01-01 08:15:00,2020-01-01 10:52:00,250.6707047833872,M
A5,D2,T1,2020-01-01 08:45:00,2020-01-01 11:16:00,251.36660659579655,M
A5,D3,T1,2020-01-01 05:15:00,2020-01-01 07:45:00,256.50452946265176,M
A5,D4,T1,2020-01-01 06:45:00,2020-01-01 09:16:00,250.61757088173698,M
A5,D5,T1,2020-01-01 06:00:00,2020-01-01 08:39:00,255.78918898763783,M
A5,E1,T1,2020-01-01 05:45:00,2020-01-01 08:45:00,275.02416541912686,M
A5,E2,T1,2020-01-01 07:15:00,2020-01-01 10:09:00,280.49708847292834,M
A5,E3,T1,2020-01-01 07:45:00,2020-01-01 10:39:00,277.5682727746636,M
A5,E4,T1,2020-01-01 08:00:00,2020-01-01 10:55:00,283.34335566725576,M
A5,E5,T1,2020-01-01 05:45:00,2020-01-01 08:45:00,281.55921382261306,M
B1,A1,T1,2020-01-01 05:30:00,2020-01-01 07:38:00,218.23792951489222,M
B1,A2,T1,2020-01-01 07:15:00,2020-01-01 09:21:00,212.41848570868413,M
B1,A3,T1,2020-01-01 08:15:00,2020-01-01 10:23:00,213.1257643551001,M
B1,A4,T1,2020-01-01 07:30:00,2020-01-01 09:47:00,211.27060328524058,M
B1,A5,T1,2020-01-01 09:30:00,2020-01-01 11:43:00,218.1447259474071,M
B1,C1,T1,2020-01-01 07:45:00,2020-01-01 10:57:00,306.90273444103303,M
B1,C2,T1,2020-01-01 07:15:00,2020-01-01 10:18:00,300.4187877084116,M
B1,C3,T1,2020-01-01 08:30:00,2020-01-01 11:45:00,303.3531839160004,M
B1,C4,T1,2020-01-01 08:30:00,2020-01-01 11:38:00,306.2958221868741,M
B1,C5,T1,2020-01-01 07:45:00,2020-01-01 10:54:00,307.1185482949104,M
B1,D1,T1,2020-01-01 07:45:00,2020-01-01 11:29:00,356.06457055036884,M
B1,D2,T1,2020-01-01 09:15:00,2020-01-01 12:49:00,352.98190725114597,M
B1,D3,T1,2020-01-01 06:30:00,2020-01-01 10:04:00,350.15348107823604,M
B1,D4,T1,2020-01-01 08:45:00,2020-01-01 12:28:00,355.7868901513691,M
B1,D5,T1,2020-01-01 09:15:00,2020-01-01 12:47:00,358.5893642812714,M
B1,E1,T1,2020-01-01 09:45:00,2020-01-01 13:41:00,382.3584404434561,M
B1,E2,T1,2020-01-01 07:15:00,2020-01-01 11:00:00,383.0526772878757,M
B1,E3,T1,2020-01-01 05:45:00,2020-01-01 09:30:00,375.6832796589151,M
B1,E4,T1,2020-01-01 09:30:00,2020-01-01 13:22:00,376.71086274297016,M
B1,E5,T1,2020-01-01 06:00:00,2020-01-01 09:56:00,376.02171950262846,M
B2,A1,T1,2020-01-01 07:30:00,2020-01-01 09:42:00,211.79942885964957,M
B2,A2,T1,2020-01-01 08:45:00,2020-01-01 10:56:00,216.35545395528618,M
B2,A3,T1,2020-01-01 06:30:00,2020-01-01 08:42:00,214.26913981036193,M
B2,A4,T1,2020-01-01 06:00:00,2020-01-01 08:10:00,211.99859052626175,M
B2,A5,T1,2020-01-01 05:00:00,2020-01-01 07:21:00,210.1917909799336,M
B2,C1,T1,2020-01-01 05:00:00,2020-01-01 08:14:00,300.4103938815939,M
B2,C2,T1,2020-01-01 08:45:00,2020-01-01 11:58:00,308.01388176492316,M
B2,C3,T1,2020-01-01 05:30:00,2020-01-01 08:31:00,304.57184488330574,M
B2,C4,T1,2020-01-01 07:30:00,2020-01-01 10:36:00,302.6109520596069,M
B2,C5,T1,2020-01-01 07:00:00,2020-01-01 10:09:00,303.7470822466147,M
B2,D1,T1,2020-01-01 06:00:00,2020-01-01 09:35:00,352.8249886628837,M
B2,D2,T1,2020-01-01 06:00:00,2020-01-01 09:30:00,356.76551115528457,M
B2,D3,T1,2020-01-01 06:45:00,2020-01-01 10:24:00,352.481083916961,M
B2,D4,T1,2020-01-01 06:45:00,2020-01-01 10:18:00,357.40244367488475,M
B2,D5,T1,2020-01-01 09:15:00,2020-01-01 12:59:00,352.39483701710424,M
B2,E1,T1,2020-01-01 09:15:00,2020-01-01 13:00:00,383.34305710653405,M
B2,E2,T1,2020-01-01 09:30:00,2020-01-01 13:22:00,383.7769266021432,M
B2,E3,T1,2020-01-01 09:45:00,2020-01-01 13:30:00,384.5866038227126,M
B2,E4,T1,2020-01-01 09:30:00,2020-01-01 13:18:00,375.97840144449526,M
B2,E5,T1,2020-01-01 06:00:00,2020-01-01 09:47:00,379.4697816828674,M
B3,A1,T1,2020-01-01 06:00:00,2020-01-01 08:16:00,211.5199928762147,M
B3,A2,T1,2020-01-01 07:45:00,2020-01-01 10:06:00,215.07960535218237,M
B3,A3,T1,2020-01-01 08:30:00,2020-01-01 10:51:00,219.22579949178166,M
B3,A4,T1,2020-01-01 08:00:00,2020-01-01 10:09:00,217.70594086348495,M
B3,A5,T1,2020-01-01 07:30:00,2020-01-01 09:46:00,215.41699654138074,M
B3,C1,T1,2020-01-01 08:30:00,2020-01-01 11:44:00,303.75324235690687,M
B3,C2,T1,2020-01-01 08:15:00,2020-01-01 11:21:00,308.0520115641625,M
B3,C3,T1,2020-01-01 06:15:00,2020-01-01 09:26:00,300.93550760919953,M
B3,C4,T1,2020-01-01 09:30:00,2020-01-01 12:33:00,303.47426558573125,M
B3,C5,T1,2020-01-01 08:15:00,2020-01-01 11:20:00,301.3144597023037,M
B3,D1,T1,2020-01-01 05:00:00,2020-01-01 08:45:00,350.62604547362065,M
B3,D2,T1,2020-01-01 06:00:00,2020-01-01 09:41:00,354.96302915877413,M
B3,D3,T1,2020-01-01 06:15:00,2020-01-01 09:54:00,351.10399633903495,M
B3,D4,T1,2020-01-01 06:00:00,2020-01-01 09:42:00,358.00257840215613,M
B3,D5,T1,2020-01-01 09:45:00,2020-01-01 13:24:00,350.65361482873163,M
B3,E1,T1,2020-01-01 09:00:00,2020-01-01 12:52:00,383.4330628146462,M
B3,E2,T1,2020-01-01 08:30:00,2020-01-01 12:18:00,381.65035269705635,M
B3,E3,T1,2020-01-01 07:00:00,2020-01-01 10:58:00,384.05849266827425,M
B3,E4,T1,2020-01-01 05:00:00,2020-01-01 08:59:00,377.36051836182213,M
B3,E5,T1,2020-01-01 06:15:00,2020-01-01 10:04:00,377.8310311398166,M
B4,A1,T1,2020-01-01 05:00:00,2020-01-01 07:17:00,214.71439675993486,M
B4,A2,T1,2020-01-01 07:15:00,2020-01-01 09:33:00,218.5074500775526,M
B4,A3,T1,2020-01-01 08:15:00,2020-01-01 10:27:00,218.87872463933402,M
B4,A4,T1,2020-01-01 08:45:00,2020-01-01 10:54:00,210.0638498538409,M
B4,A5,T1,2020-01-01 05:30:00,2020-01-01 07:50:00,215.8232860091046,M
B4,C1,T1,2020-01-01 09:45:00,2020-01-01 12:47:00,308.81570565212604,M
B4,C2,T1,2020-01-01 07:15:00,2020-01-01 10:29:00,308.85761416863096,M
B4,C3,T1,2020-01-01 06:00:00,2020-01-01 09:12:00,307.44818140724766,M
B4,C4,T1,2020-01-01 06:00:00,2020-01-01 09:12:00,303.9761232539357,M
B4,C5,T1,2020-01-01 08:00:00,2020-01-01 11:14:00,304.74982609068593,M
B4,D1,T1,2020-01-01 06:00:00,2020-01-01 09:34:00,357.5000231618454,M
B4,D2,T1,2020-01-01 07:15:00,2020-01-01 10:54:00,355.7043054335715,M
B4,D3,T1,2020-01-01 06:15:00,2020-01-01 09:55:00,350.96214233568963,M
B4,D4,T1,2020-01-01 08:30:00,2020-01-01 12:03:00,354.6462435273471,M
B4,D5,T1,2020-01-01 08:00:00,2020-01-01 11:34:00,352.5783081468757,M
B4,E1,T1,2020-01-01 07:00:00,2020-01-01 10:50:00,381.86227496232596,M
B4,E2,T1,2020-01-01 08:15:00,2020-01-01 12:09:00,375.1318777873634,M
B4,E3,T1,2020-01-01 07:00:00,2020-01-01 10:56:00,376.8462286843029,M
B4,E4,T1,2020-01-01 08:00:00,2020-01-01 11:46:00,380.11100076300306,M
B4,E5,T1,2020-01-01 07:45:00,2020-01-01 11:41:00,381.00332485302107,M
B5,A1,T1,2020-01-01 07:45:00,2020-01-01 09:59:00,218.56271995993256,M
B5,A2,T1,2020-01-01 06:15:00,2020-01-01 08:26:00,214.60207629944958,M
B5,A3,T1,2020-01-01 09:45:00,2020-01-01 12:04:00,214.39712116685357,M
B5,A4,T1,2020-01-01 05:00:00,2020-01-01 07:14:00,215.50237448434552,M
B5,A5,T1,2020-01-01 09:45:00,2020-01-01 11:55:00,215.46932732956503,M
B5,C1,T1,2020-01-01 05:15:00,2020-01-01 08:19:00,306.94695851606235,M
B5,C2,T1,2020-01-01 05:00:00,2020-01-01 08:12:00,308.50467106981813,M
B5,C3,T1,2020-01-01 07:45:00,2020-01-01 10:53:00,304.12851077945044,M
B5,C4,T1,2020-01-01 09:00:00,2020-01-01 12:02:00,305.84212116395827,M
B5,C5,T1,2020-01-01 05:30:00,2020-01-01 08:41:00,302.3458149181152,M
B5,D1,T1,2020-01-01 05:30:00,2020-01-01 09:08:00,355.15118166295406,M
B5,D2,T1,2020-01-01 06:30:00,2020-01-01 10:09:00,353.73566015059424,M
B5,D3,T1,2020-01-01 05:30:00,2020-01-01 09:13:00,357.3619104742058,M
B5,D4,T1,2020-01-01 08:00:00,2020-01-01 11:33:00,351.6938932832621,M
B5,D5,T1,2020-01-01 09:15:00,2020-01-01 12:45:00,350.30014089502856,M
B5,E1,T1,2020-01-01 08:45:00,2020-01-01 12:38:00,383.28118585328747,M
B5,E2,T1,2020-01-01 08:45:00,2020-01-01 12:36:00,377.69458361378025,M
B5,E3,T1,2020-01-01 08:45:00,2020-01-01 12:37:00,381.0060564273026,M
B5,E4,T1,2020-01-01 07:15:00,2020-01-01 11:04:00,378.2275002046447,M
B5,E5,T1,2020-01-01 09:45:00,2020-01-01 13:38:00,379.4456104484419,M
C1,A1,T1,2020-01-01 07:15:00,2020-01-01 09:46:00,231.95682224169522,M
C1,A2,T1,2020-01-01 07:15:00,2020-01-01 09:39:00,231.82602228491743,M
C1,A3,T1,2020-01-01 06:30:00,2020-01-01 08:48:00,233.26485843824204,M
C1,A4,T1,2020-01-01 08:30:00,2020-01-01 11:01:00,231.11361406393547,M
C1,A5,T1,2020-01-01 05:00:00,2020-01-01 07:31:00,239.34673233400045,M
C1,B1,T1,2020-01-01 07:30:00,2020-01-01 10:30:00,299.1385684962275,M
C1,B2,T1,2020-01-01 05:00:00,2020-01-01 08:06:00,300.9473085439303,M
C1,B3,T1,2020-01-01 08:00:00,2020-01-01 11:10:00,302.81694650777945,M
C1,B4,T1,2020-01-01 09:00:00,2020-01-01 12:11:00,299.43041704726414,M
C1,B5,T1,2020-01-01 05:00:00,2020-01-01 08:01:00,298.4852422096241,M
C1,D1,T1,2020-01-01 07:00:00,2020-01-01 11:03:00,403.7990458563675,M
C1,D2,T1,2020-01-01 05:45:00,2020-01-01 09:54:00,407.4205643257116,M
C1,D3,T1,2020-01-01 05:30:00,2020-01-01 09:40:00,407.3158141604316,M
C1,D4,T1,2020-01-01 07:45:00,2020-01-01 11:50:00,408.4099693257838,M
C1,D5,T1,2020-01-01 08:30:00,2020-01-01 12:39:00,404.6733465906122,M
C1,E1,T1,2020-01-01 06:30:00,2020-01-01 10:52:00,427.6198680228726,M
C1,E2,T1,2020-01-01 07:00:00,2020-01-01 11:25:00,427.763472067267,M
C1,E3,T1,2020-01-01 06:00:00,2020-01-01 10:17:00,430.4024302342111,M
C1,E4,T1,2020-01-01 05:00:00,2020-01-01 09:27:00,429.319793511403,M
C1,E5,T1,2020-01-01 07:00:00,2020-01-01 11:27:00,426.13822683674744,M
C2,A1,T1,2020-01-01 06:15:00,2020-01-01 08:33:00,231.6440416605058,M
C2,A2,T1,2020-01-01 09:15:00,2020-01-01 11:43:00,235.17483186020908,M
C2,A3,T1,2020-01-01 08:15:00,2020-01-01 10:33:00,236.92620075215933,M
C2,A4,T1,2020-01-01 07:00:00,2020-01-01 09:30:00,238.31588606135026,M
C2,A5,T1,2020-01-01 07:45:00,2020-01-01 10:08:00,238.7737799959497,M
C2,B1,T1,2020-01-01 09:45:00,2020-01-01 12:52:00,298.4507766144956,M
C2,B2,T1,2020-01-01 05:00:00,2020-01-01 08:03:00,301.65416596094644,M
C2,B3,T1,2020-01-01 09:00:00,2020-01-01 11:57:00,299.8391375988645,M
C2,B4,T1,2020-01-01 08:00:00,2020-01-01 10:57:00,303.0162742983054,M
C2,B5,T1,2020-01-01 07:45:00,2020-01-01 10:56:00,300.81374857404927,M
C2,D1,T1,2020-01-01 07:00:00,2020-01-01 11:03:00,408.71966646246983,M
C2,D2,T1,2020-01-01 07:30:00,2020-01-01 11:41:00,400.4203650961596,M
C2,D3,T1,2020-01-01 06:30:00,2020-01-01 10:34:00,409.22510338372086,M
C2,D4,T1,2020-01-01 09:30:00,2020-01-01 13:39:00,402.8994958187018,M
C2,D5,T1,2020-01-01 07:30:00,2020-01-01 11:41:00,407.0775762962459,M
C2,E1,T1,2020-01-01 06:00:00,2020-01-01 10:24:00,427.2345493260619,M
C2,E2,T1,2020-01-01 08:00:00,2020-01-01 12:24:00,425.8126695443955,M
C2,E3,T1,2020-01-01 08:30:00,2020-01-01 12:52:00,428.14829939775683,M
C2,E4,T1,2020-01-01 07:00:00,2020-01-01 11:30:00,433.693085385393,M
C2,E5,T1,2020-01-01 05:45:00,2020-01-01 10:14:00,430.6943386442759,M
C3,A1,T1,2020-01-01 05:45:00,2020-01-01 08:05:00,230.8421432212731,M
C3,A2,T1,2020-01-01 09:15:00,2020-01-01 11:43:00,233.44992202791994,M
C3,A3,T1,2020-01-01 06:45:00,2020-01-01 09:08:00,233.87875963579359,M
C3,A4,T1,2020-01-01 05:45:00,2020-01-01 08:16:00,239.10566913343447,M
C3,A5,T1,2020-01-01 08:00:00,2020-01-01 10:20:00,231.2499927739738,M
C3,B1,T1,2020-01-01 07:45:00,2020-01-01 10:42:00,300.5160847141503,M
C3,B2,T1,2020-01-01 09:45:00,2020-01-01 12:54:00,303.0185586390275,M
C3,B3,T1,2020-01-01 05:45:00,2020-01-01 08:45:00,299.6513070701988,M
C3,B4,T1,2020-01-01 06:30:00,2020-01-01 09:37:00,303.6521106561415,M
C3,B5,T1,2020-01-01 06:15:00,2020-01-01 09:13:00,302.3223143697548,M
C3,D1,T1,2020-01-01 09:30:00,2020-01-01 13:36:00,408.4713683094755,M
C3,D2,T1,2020-01-01 05:00:00,2020-01-01 09:15:00,409.1485469465153,M
C3,D3,T1,2020-01-01 09:00:00,2020-01-01 13:11:00,409.5141956264562,M
C3,D4,T1,2020-01-01 06:00:00,2020-01-01 10:01:00,404.8929042063661,M
C3,D5,T1,2020-01-01 06:45:00,2020-01-01 10:50:00,407.8808579248992,M
C3,E1,T1,2020-01-01 06:15:00,2020-01-01 10:31:00,431.09484189686094,M
C3,E2,T1,2020-01-01 06:30:00,2020-01-01 10:58:00,426.5914681835411,M
C3,E3,T1,2020-01-01 05:00:00,2020-01-01 09:29:00,425.7299961876398,M
C3,E4,T1,2020-01-01 05:15:00,2020-01-01 09:40:00,429.1100615093763,M
C3,E5,T1,2020-01-01 07:45:00,2020-01-01 12:10:00,428.30022039111304,M
C4,A1,T1,2020-01-01 05:45:00,2020-01-01 08:07:00,235.4212291740595,M
C4,A2,T1,2020-01-01 06:00:00,2020-01-01 08:27:00,238.92631254980083,M
C4,A3,T1,2020-01-01 05:30:00,2020-01-01 08:03:00,236.6225399291464,M
C4,A4,T1,2020-01-01 09:45:00,2020-01-01 12:06:00,231.47447692195547,M
C4,A5,T1,2020-01-01 07:45:00,2020-01-01 10:13:00,231.03936822619562,M
C4,B1,T1,2020-01-01 07:00:00,2020-01-01 09:59:00,302.23034784774455,M
C4,B2,T1,2020-01-01 09:30:00,2020-01-01 12:41:00,304.619498324555,M
C4,B3,T1,2020-01-01 09:00:00,2020-01-01 11:59:00,304.94849553491804,M
C4,B4,T1,2020-01-01 05:15:00,2020-01-01 08:26:00,304.34301345150504,M
C4,B5,T1,2020-01-01 05:15:00,2020-01-01 08:25:00,297.5568278387436,M
C4,D1,T1,2020-01-01 06:15:00,2020-01-01 10:19:00,406.12749131698143,M
C4,D2,T1,2020-01-01 08:15:00,2020-01-01 12:20:00,405.51350561064675,M
C4,D3,T1,2020-01-01 07:15:00,2020-01-01 11:28:00,400.7305542286231,M
C4,D4,T1,2020-01-01 06:45:00,2020-01-01 10:59:00,401.4496456810381,M
C4,D5,T1,2020-01-01 07:30:00,2020-01-01 11:42:00,401.2104254144457,M
C4,E1,T1,2020-01-01 09:15:00,2020-01-01 13:35:00,430.36788360814245,M
C4,E2,T1,2020-01-01 05:30:00,2020-01-01 09:53:00,429.7694802180638,M
C4,E3,T1,2020-01-01 07:00:00,2020-01-01 11:26:00,425.4741212141713,M
C4,E4,T1,2020-01-01 07:45:00,2020-01-01 12:08:00,426.06158291384446,M
C4,E5,T1,2020-01-01 08:30:00,2020-01-01 12:50:00,430.0365722577597,M
C5,A1,T1,2020-01-01 05:30:00,2020-01-01 08:01:00,236.49261634333743,M
C5,A2,T1,2020-01-01 06:30:00,2020-01-01 08:56:00,233.3772420661866,M
C5,A3,T1,2020-01-01 09:45:00,2020-01-01 12:08:00,232.68069496863288,M
C5,A4,T1,2020-01-01 09:45:00,2020-01-01 12:17:00,235.9469866188959,M
C5,A5,T1,2020-01-01 07:45:00,2020-01-01 10:06:00,231.49985763447583,M
C5,B1,T1,2020-01-01 07:15:00,2020-01-01 10:26:00,298.97044612579,M
C5,B2,T1,2020-01-01 05:15:00,2020-01-01 08:18:00,299.89435360782034,M
C5,B3,T1,2020-01-01 09:00:00,2020-01-01 12:10:00,300.9365795571321,M
C5,B4,T1,2020-01-01 07:45:00,2020-01-01 10:55:00,296.5611636962956,M
C5,B5,T1,2020-01-01 08:00:00,2020-01-01 11:07:00,300.39897733462413,M
C5,D1,T1,2020-01-01 09:30:00,2020-01-01 13:34:00,400.7878666371964,M
C5,D2,T1,2020-01-01 05:45:00,2020-01-01 09:46:00,402.1749059423916,M
C5,D3,T1,2020-01-01 06:00:00,2020-01-01 10:08:00,402.4697815247683,M
C5,D4,T1,2020-01-01 07:00:00,2020-01-01 11:11:00,403.0637557028512,M
C5,D5,T1,2020-01-01 08:00:00,2020-01-01 12:09:00,402.74636246736986,M
C5,E1,T1,2020-01-01 08:15:00,2020-01-01 12:32:00,432.80555155369535,M
C5,E2,T1,2020-01-01 09:45:00,2020-01-01 14:15:00,425.74039727547216,M
C5,E3,T1,2020-01-01 07:45:00,2020-01-01 12:04:00,434.72994272399467,M
C5,E4,T1,2020-01-01 05:30:00,2020-01-01 09:51:00,433.608443919961,M
C5,E5,T1,2020-01-01 06:00:00,2020-01-01 10:17:00,425.7358407397073,M
D1,A1,T1,2020-01-01 08:00:00,2020-01-01 10:26:00,249.47364986583563,M
D1,A2,T1,2020-01-01 05:45:00,2020-01-01 08:24:00,245.9403510232228,M
D1,A3,T1,2020-01-01 06:30:00,2020-01-01 08:55:00,243.25570714578438,M
D1,A4,T1,2020-01-01 05:15:00,2020-01-01 07:47:00,245.43432933967017,M
D1,A5,T1,2020-01-01 05:30:00,2020-01-01 07:54:00,245.9708071135962,M
D1,B1,T1,2020-01-01 05:00:00,2020-01-01 08:42:00,369.5969277430529,M
D1,B2,T1,2020-01-01 08:15:00,2020-01-01 11:54:00,363.9067811561917,M
D1,B3,T1,2020-01-01 09:15:00,2020-01-01 12:56:00,366.8703113976327,M
D1,B4,T1,2020-01-01 06:30:00,2020-01-01 10:21:00,369.6161700146715,M
